,support,d1, d2, length
354,0.00019134483528398762,"REF PEPSI COLA 350ML", "SELF SERVICE  K'",2
357,0.00012756322352265842,"REF SAO GERALDO 250ML CAJU", "SELF SERVICE  K'",2
359,0.00012756322352265842,"REF SCHWEPPES 350ML CITRUS", "SELF SERVICE  K'",2
361,0.00019134483528398762,"REF SPRITE 350ML", "SELF SERVICE  K'",2
369,0.00015945402940332302,"SALADA DE FRUTA  KG", "SELF SERVICE  CAFE DA MANHA K'",2
370,0.00019134483528398762,"SALADA DE FRUTA  KG", "SELF SERVICE  K'",2
372,0.00015945402940332302,"SALGADO FORNO BGM UND", "SALGADO FRITURA BGM UN'",2
373,0.00022323564116465223,"SALGADO FORNO BGM UND", "SUCO ARUPI 300ML SABORES CAJ'",2
375,0.00019134483528398762,"SALGADO FRITURA BGM UND", "SUCO ARUPI 300ML SABORES CAJ'",2
380,0.0009567241764199382,"SELF SERVICE CAFE GRANDE UND", "SELF SERVICE  CAFE DA MANHA K'",2
382,0.00028701725292598146,"SELF SERVICE CAFE PEQUENO UND", "SELF SERVICE  CAFE DA MANHA K'",2
384,0.0018815575469592117,"SELF SERVICE  CAFE C LEITE UN", "SELF SERVICE  CAFE DA MANHA K'",2
387,0.00012756322352265842,"SELF SERVICE  CAFE DA MANHA KG", "SUCO ARUPI 300ML SABORES CAJ'",2
388,0.00022323564116465223,"SELF SERVICE  CAFE DA MANHA KG", "SUCO DE LARANJA  300ML COP'",2
390,0.00028701725292598146,"SELF SERVICE  KG", "SUCO ARUPI 300ML SABORES CAJ'",2
391,0.0011161782058232612,"SELF SERVICE  KG", "SUCO DE LARANJA  300ML COP'",2
392,0.0007015977293746213,"SELF SERVICE  KG", "SUCO DE LARANJA  500ML JARR'",2
393,0.00012756322352265842,"SELF SERVICE  KG", "SUCO DEL VALLE FRESH PET 250ML LIMA'",2
394,0.00012756322352265842,"SELF SERVICE  KG", "SUCO POLPA JARRA 600ML CAJ'",2
